Symbol,Name of company,Series,Date of listing,Face value
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,2
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,5
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10
GRANULES,Granules India Limited,EQ,20-JUN-2005,1
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2
GSLSU,Global Surfaces Limited,EQ,23-MAR-2023,10
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2
HARDWYN,Hardwyn India Limited,EQ,12-APR-2022,1
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1
HBLPOWER,HBL Power Systems Limited,EQ,04-JAN-2007,1
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10
HEG,HEG Limited,EQ,10-MAY-1995,10
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10
HERCULES,Hercules Hoists Limited,EQ,19-FEB-2008,1
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10
HEUBACHIND,Heubach Colorants India Limited,EQ,14-JUN-1995,10
HEXATRADEX,Hexa Tradex Limited,BE,20-APR-2012,2
HFCL,HFCL Limited,EQ,09-MAR-2011,1
HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10
HIKAL,Hikal Limited,EQ,14-FEB-2001,2
HIL,HIL Limited,EQ,26-APR-1995,10
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,5
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2
HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,1
HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023,2
HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023,1
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,2
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10
HPAL,HP Adhesives Limited,EQ,27-DEC-2021,2
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2
ICRA,ICRA Limited,EQ,13-APR-2007,10
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10
IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,10
IDFC,IDFC Limited,EQ,12-AUG-2005,10
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1
IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10
IFCI,IFCI Limited,EQ,26-APR-1995,10
IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,10
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2
IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,10
IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2
IIFLSEC,IIFL Securities Limited,EQ,20-SEP-2019,2
IKIO,IKIO Lighting Limited,EQ,16-JUN-2023,10
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10
IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1
INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,10
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10
INDIANB,Indian Bank,EQ,01-MAR-2007,10
INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997,10
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,5
INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,5
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10
INDSWFTLAB,Ind-Swift Laboratories Limited,BE,02-JUL-1997,10
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011,2
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10
INFIBEAM,Infibeam Avenues Limited,EQ,04-APR-2016,1
INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019,10
INFY,Infosys Limited,EQ,08-FEB-1995,5
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999,10
INOXWIND,Inox Wind Limited,EQ,09-APR-2015,10
INSECTICID,Insecticides (India) Limited,EQ,30-MAY-2007,10
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,5
INTLCONV,International Conveyors Limited,EQ,16-SEP-2021,1
IOB,Indian Overseas Bank,EQ,07-DEC-2000,10
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,10
IONEXCHANG,ION Exchange (India) Limited,EQ,22-FEB-2022,1
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1
IPL,India Pesticides Limited,EQ,05-JUL-2021,1
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1
IRCON,Ircon International Limited,EQ,28-SEP-2018,2
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021,2
ISEC,ICICI Securities Limited,EQ,04-APR-2018,5
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010,10
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,1
ITC,ITC Limited,EQ,23-AUG-1995,1
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016,10
ITDCEM,ITD Cementation India Limited,EQ,10-FEB-1999,1
ITI,ITI Limited,EQ,15-SEP-2003,10
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,5
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997,1
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,1
JASH,Jash Engineering Limited,EQ,30-OCT-2019,10
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-APR-1996,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,2
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,10
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-FEB-1995,5
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,03-JAN-2000,10
JINDALPHOT,Jindal Photo Limited,EQ,07-APR-2005,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002,10
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,2
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-DEC-1999,1
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,1
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,2
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,5
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006,5
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007,2
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1
JOCIL,Jocil Limited,EQ,08-OCT-2008,10
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005,10
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1
JTEKTINDIA,Jtekt India Limited,EQ,12-JAN-2004,1
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,2
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2
JUBLINDS,Jubilant Industries Limited,EQ,14-FEB-2011,10
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,1
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,1
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,10
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,08-FEB-1995,5
KANPRPLA,Kanpur Plastipack Limited,EQ,01-JAN-2021,10
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022,10
KCP,KCP Limited,EQ,09-APR-1997,1
KDDL,KDDL Limited,EQ,23-MAR-2016,10
KEC,KEC International Limited,EQ,10-MAR-2006,2
KECL,Kirloskar Electric Company Limited,EQ,09-MAR-2010,10
KEI,KEI Industries Limited,EQ,23-MAR-2006,2
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016,5
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020,1
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,10
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10
KIOCL,KIOCL Limited,EQ,29-NOV-2016,10
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008,10
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010,10
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2
KITEX,Kitex Garments Limited,EQ,25-SEP-2012,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10
KOPRAN,Kopran Limited,EQ,09-JUN-1999,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,2
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,1
KRBL,KRBL Limited,EQ,21-JAN-2002,1
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019,10
KRITI,Kriti Industries (India) Limited,EQ,01-NOV-2021,1
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5
KSB,Ksb Limited,EQ,08-FEB-1995,2
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007,2
KSL,Kalyani Steels Limited,EQ,19-MAY-2010,5
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000,10
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019,1
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10
LAMBODHARA,Lambodhara Textiles Limited,EQ,04-FEB-2015,5
LANDMARK,Landmark Cars Limited,EQ,23-DEC-2022,5
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007,2
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2
LAXMICOT,Laxmi Cotspin Limited,EQ,12-NOV-2021,10
LAXMIMACH,Lakshmi Machine Works Limited,EQ,29-MAR-1995,10
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,10
LIBAS,Libas Consumer Products Limited,EQ,23-JUL-2019,10
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-OCT-2020,5
LINC,Linc Limited,EQ,09-MAR-2015,10
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,10
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,10
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1
LODHA,Macrotech Developers Limited,EQ,19-APR-2021,10
LOVABLE,Lovable Lingerie Limited,BE,24-MAR-2011,10
LOYALTEX,Loyal Textile Mills Limited,EQ,11-AUG-2022,10
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2
LTF,L&T Finance Limited,EQ,12-AUG-2011,10
LTFOODS,LT Foods Limited,EQ,18-DEC-2006,1
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2
LUMAXIND,Lumax Industries Limited,EQ,06-SEP-1995,10
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007,2
LUPIN,Lupin Limited,EQ,10-SEP-2001,2
LUXIND,Lux Industries Limited,EQ,30-NOV-2015,2
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997,10
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,10
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10
MAHLOG,Mahindra Logistics Limited,EQ,10-NOV-2017,10
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-FEB-1995,10
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,5
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011,10
MALLCOM,Mallcom (India) Limited,EQ,02-FEB-2022,10
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008,2
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006,5
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-OCT-2007,10
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996,10
MANINFRA,Man Infraconstruction Limited,EQ,11-MAR-2010,2
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,1
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,2
MARALOVER,Maral Overseas Limited,EQ,08-FEB-1995,10
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,5
MARICO,Marico Limited,EQ,01-MAY-1996,1
MARKSANS,Marksans Pharma Limited,EQ,21-JAN-2002,1
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,5
MASFIN,MAS Financial Services Limited,EQ,18-OCT-2017,10
MASTEK,Mastek Limited,EQ,10-MAY-1995,5
MATRIMONY,Matrimony.Com Limited,EQ,21-SEP-2017,5
MAWANASUG,Mawana Sugars Limited,EQ,20-MAR-2009,10
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012,5
MAZDA,Mazda Limited,EQ,01-NOV-2016,10
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020,10
MBAPL,Madhya Bharat Agro Products Limited,EQ,22-AUG-2019,10
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10
MEDANTA,Global Health Limited,EQ,16-NOV-2022,2
MEDICAMEQ,Medicamen Biotech Limited,EQ,27-OCT-2021,10
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021,2
MENONBE,Menon Bearings Limited,EQ,09-MAR-2015,1
METROBRAND,Metro Brands Limited,EQ,22-DEC-2021,5
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019,2
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,10
MIDHANI,Mishra Dhatu Nigam Limited,EQ,04-APR-2018,10
MINDACORP,Minda Corporation Limited,EQ,16-OCT-2014,2
MMFL,MM Forgings Limited,EQ,20-DEC-2006,10
MMTC,MMTC Limited,EQ,09-APR-2012,1
MOIL,MOIL Limited,EQ,15-DEC-2010,10
MOL,Meghmani Organics Limited,EQ,18-AUG-2021,1
MOLDTECH,Mold-Tek Technologies Limited,EQ,07-JUL-2016,2
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-FEB-2015,5
MONARCH,Monarch Networth Capital Limited,EQ,06-JAN-2022,10
MONTECARLO,Monte Carlo Fashions Limited,EQ,19-DEC-2014,10
MOREPENLAB,Morepen Laboratories Limited,EQ,24-NOV-1999,2
MOTHERSON,Samvardhana Motherson International Limited,EQ,14-AUG-1996,1
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10
MPSLTD,MPS Limited,EQ,21-JAN-2002,10
MRF,MRF Limited,EQ,18-SEP-1996,10
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005,10
MSTCLTD,Mstc Limited,EQ,29-MAR-2019,10
MSUMI,Motherson Sumi Wiring India Limited,EQ,28-MAR-2022,1
MTARTECH,Mtar Technologies Limited,EQ,15-MAR-2021,10
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999,10
MUKANDLTD,Mukand Limited,EQ,23-FEB-2004,10
MUNJALAU,Munjal Auto Industries Limited,EQ,19-JUL-2006,2
MUNJALSHOW,Munjal Showa Limited,EQ,12-MAY-2003,2
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-AUG-2015,10
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,10
NACLIND,NACL Industries Limited,EQ,07-APR-2017,1
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-JUN-2016,1
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-MAR-2008,5
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-DEC-2005,10
NAHARSPING,Nahar Spinning Mills Limited,EQ,23-MAR-2007,5
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,10
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,2
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,5
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,10
NAVA,NAVA LIMITED,EQ,03-APR-1996,2
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,2
NAVKARCORP,Navkar Corporation Limited,EQ,09-SEP-2015,10
NAVNETEDUL,Navneet Education Limited,EQ,08-FEB-1995,2
NAZARA,Nazara Technologies Limited,EQ,30-MAR-2021,4
NBCC,NBCC (India) Limited,EQ,12-APR-2012,1
NCC,NCC Limited,EQ,14-OCT-2003,2
NCLIND,NCL Industries Limited,EQ,03-APR-2007,10
NDTV,New Delhi Television Limited,EQ,19-MAY-2004,4
NECLIFE,Nectar Lifesciences Limited,EQ,18-JUL-2005,1
NELCAST,Nelcast Limited,EQ,27-JUN-2007,2
NELCO,NELCO Limited,EQ,28-MAY-2003,10
NEOGEN,Neogen Chemicals Limited,EQ,08-MAY-2019,10
NESCO,Nesco Limited,EQ,08-APR-2008,2
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,1
NETWEB,Netweb Technologies India Limited,EQ,27-JUL-2023,2
NEULANDLAB,Neuland Laboratories Limited,EQ,13-OCT-2008,10
NFL,National Fertilizers Limited,EQ,28-DEC-2006,10
NGLFINE,NGL Fine-Chem Limited,EQ,08-JUL-2022,5
NH,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,10
NHPC,NHPC Limited,EQ,01-SEP-2009,10
NIACL,The New India Assurance Company Limited,EQ,13-NOV-2017,5
NIITLTD,NIIT Limited,EQ,16-AUG-2004,2
NIITMTS,NIIT Learning Systems Limited,EQ,08-AUG-2023,2
NILKAMAL,Nilkamal Limited,EQ,01-NOV-1995,10
NITINSPIN,Nitin Spinners Limited,EQ,02-FEB-2006,10
NLCINDIA,NLC India Limited,EQ,23-AUG-2000,10
NMDC,NMDC Limited,EQ,03-MAR-2008,1
NOCIL,NOCIL Limited,EQ,17-JAN-1996,10
NRAIL,N R Agarwal Industries Limited,EQ,05-APR-2017,10
NRBBEARING,NRB Bearing Limited,EQ,08-MAR-2000,2
NRL,Nupur Recyclers Limited,EQ,12-JAN-2023,10
NSIL,Nalwa Sons Investments Limited,EQ,17-NOV-2003,10
NSLNISP,NMDC Steel Limited,EQ,20-FEB-2023,10
NTPC,NTPC Limited,EQ,05-NOV-2004,10
NURECA,Nureca Limited,EQ,25-FEB-2021,10
NUVOCO,Nuvoco Vistas Corporation Limited,EQ,23-AUG-2021,10
NYKAA,FSN E-Commerce Ventures Limited,EQ,10-NOV-2021,1
OAL,Oriental Aromatics Limited,EQ,11-JUL-2019,5
OBCL,Orissa Bengal Carrier Limited,EQ,07-APR-2022,10
OBEROIRLTY,Oberoi Realty Limited,EQ,20-OCT-2010,10
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5
OIL,Oil India Limited,EQ,30-SEP-2009,10
OLECTRA,Olectra Greentech Limited,EQ,20-MAR-2002,4
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5
ONMOBILE,OnMobile Global Limited,EQ,19-FEB-2008,10
