Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,79,349.45,27606.55,S,207.05,-27852.85,Cash,39.25
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,68,359.5,24446.0,S,183.35,-24664.1,Cash,34.75
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,100,359.5,35950.0,D,269.63,-36311.09,Cash,91.46
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,32,359.5,11504.0,S,86.28,-11606.66,Cash,16.38
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,358.7,1076.1,D,8.07,-1086.91,Cash,2.74
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,358.75,1435.0,D,10.76,-1449.41,Cash,3.6499999999999995
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,2,358.75,717.5,D,5.38,-724.69,Cash,1.81
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,5,358.75,1793.75,D,13.45,-1811.77,Cash,4.57
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,358.75,358.75,D,2.69,-362.34,Cash,0.8999999999999999
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,185,358.75,66368.75,D,497.77,-67035.54,Cash,169.02
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,5,370.0,1850.0,S,13.88,1833.09,Cash,3.0300000000000002
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,299,370.0,110630.0,S,829.73,109619.35,Cash,180.92000000000002
09-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,196,370.0,72520.0,S,543.9,71857.49,Cash,118.60999999999999
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,189,76.7,14496.3,D,108.72,-14641.88,Cash,36.86
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,111,76.7,8513.7,D,63.85,-8599.2,Cash,21.65
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,1,76.7,76.7,D,0.58,-77.47,Cash,0.19
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,1,76.7,76.7,D,0.58,-77.47,Cash,0.19
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,698,76.7,53536.6,D,401.52,-54074.21,Cash,136.09
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,288,76.7,22089.6,D,165.67,-22311.41,Cash,56.14
10-Nov-22,NSE,N,WELSPUN LIVING LIMITED,B,712,76.7,54610.4,D,409.58,-55158.77,Cash,138.79000000000002
10-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,373.7,373.7,D,2.8,-377.44,Cash,0.94
10-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,2,373.7,747.4,D,5.61,-754.9,Cash,1.8900000000000001
10-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,34,373.7,12705.8,D,95.29,-12833.4,Cash,32.31
10-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,63,373.7,23543.1,D,176.57,-23779.49,Cash,59.82000000000001
11-Nov-22,NSE,N,STEEL AUTHORITY OF INDIA,B,1000,84.9,84900.0,D,636.75,-85752.56,Cash,215.81000000000006
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,30,355.85,10675.5,D,80.07,-10782.72,Cash,27.15
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,7,355.9,2491.3,D,18.68,-2516.31,Cash,6.33
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,20,355.9,7118.0,D,53.39,-7189.49,Cash,18.1
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,22,356.0,7832.0,D,58.74,-7910.65,Cash,19.91
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,6,356.3,2137.8,D,16.03,-2159.26,Cash,5.430000000000001
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,6,356.3,2137.8,D,16.03,-2159.26,Cash,5.430000000000001
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,9,356.35,3207.15,D,24.05,-3239.34,Cash,8.14
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,9,356.55,3208.95,D,24.07,-3241.18,Cash,8.16
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,25,356.7,8917.5,D,66.88,-9007.05,Cash,22.67
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,356.75,3567.5,D,26.76,-3603.32,Cash,9.06
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,356.75,1427.0,D,10.7,-1441.31,Cash,3.61
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,356.75,3567.5,D,26.76,-3603.32,Cash,9.06
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,356.75,1427.0,D,10.7,-1441.31,Cash,3.61
