Unnamed: 0,Symbol,Series,Open,High,Low,Close,PrevClose,TotalTradedQty,TotalTradedValue,TotalTrades,DeliverableQty,DeliveryPercentage,Date
431,CEATLTD,EQ,2687.95,2699.0,2636.85,2682.4,2677.0,116509,3117.77,11129,64550,55.40,28-Mar-2024
432,CELEBRITY,EQ,17.8,18.6,17.1,17.25,17.7,195683,34.56,1121,118775,60.70,28-Mar-2024
433,CELLECOR,SM,195.3,204.0,195.3,200.8,198.45,122400,243.29,77,69600,56.86,28-Mar-2024
434,CELLO,EQ,784.0,784.0,756.1,774.0,776.45,239347,1843.69,10213,147910,61.80,28-Mar-2024
435,CELLPOINT,SM,33.35,34.5,31.85,32.15,33.5,141600,46.67,106,82800,58.47,28-Mar-2024
436,CENTENKA,EQ,401.7,411.0,400.0,402.15,401.7,53682,217.0,4601,19132,35.64,28-Mar-2024
437,CENTEXT,BE,19.0,19.65,18.7,18.95,18.95,153640,29.26,549,-,-,28-Mar-2024
438,CENTRALBK,EQ,57.85,61.65,57.75,59.8,57.25,31670415,19017.58,50035,6814754,21.52,28-Mar-2024
439,CENTRUM,EQ,28.5,29.15,28.1,28.55,28.15,1061162,303.09,3884,511633,48.21,28-Mar-2024
440,CENTUM,EQ,1716.9,1722.1,1670.0,1683.75,1698.4,10322,175.16,2612,5026,48.69,28-Mar-2024
441,CENTURYPLY,EQ,626.0,658.9,625.95,640.05,626.1,248207,1600.78,17458,92425,37.24,28-Mar-2024
442,CENTURYTEX,EQ,1519.9,1684.9,1494.5,1629.9,1505.95,3549159,58212.26,127430,413355,11.65,28-Mar-2024
443,CERA,EQ,6905.2,6939.8,6760.0,6782.5,6870.8,10520,717.75,3693,6573,62.48,28-Mar-2024
444,CEREBRAINT,BE,6.5,6.65,6.2,6.3,6.5,417747,26.49,497,-,-,28-Mar-2024
445,CESC,EQ,132.0,132.0,118.3,121.65,122.1,10305499,12867.76,62337,3777717,36.66,28-Mar-2024
446,CGCL,EQ,205.7,208.0,200.0,204.1,204.65,273787,558.74,13118,131599,48.07,28-Mar-2024
447,CGPOWER,EQ,551.05,555.25,535.0,540.9,548.5,4052946,22046.5,68601,2043672,50.42,28-Mar-2024
448,CHALET,EQ,875.05,958.0,875.05,883.3,871.75,3035993,27905.7,100075,503848,16.60,28-Mar-2024
449,CHAMBLFERT,EQ,346.3,347.9,340.95,342.0,344.0,1412096,4844.45,16948,820688,58.12,28-Mar-2024
450,CHAVDA,SM,103.0,103.0,101.0,101.15,100.45,44000,44.83,22,38000,86.36,28-Mar-2024
451,CHEMBOND,EQ,473.6,487.0,470.2,480.0,471.2,20994,100.48,1844,12820,61.07,28-Mar-2024
452,CHEMCON,EQ,237.25,240.35,230.05,231.0,237.25,143129,336.63,6925,92100,64.35,28-Mar-2024
453,CHEMFAB,EQ,643.0,675.0,643.0,652.2,641.6,19694,129.99,1396,10327,52.44,28-Mar-2024
454,CHEMPLASTS,EQ,454.15,454.15,440.0,450.0,447.75,120378,540.76,7054,74405,61.81,28-Mar-2024
455,CHENNPETRO,EQ,924.0,926.85,900.0,906.8,913.8,647649,5919.43,32346,212573,32.82,28-Mar-2024
456,CHEVIOT,EQ,1273.45,1287.0,1251.15,1255.15,1251.05,6686,84.52,719,4786,71.58,28-Mar-2024
457,CHOICEIN,EQ,264.5,275.8,262.25,273.4,260.4,702145,1899.49,16170,201432,28.69,28-Mar-2024
458,CHOLAFIN,EQ,1130.2,1168.6,1130.2,1156.6,1130.2,1845633,21321.92,122239,1156258,62.65,28-Mar-2024
459,CHOLAFIN,N3,1085.0,1085.0,1085.0,1085.0,1085.0,5,0.05,1,5,100.00,28-Mar-2024
460,CHOLAFIN,N6,1024.0,1024.0,1024.0,1024.0,1010.0,5,0.05,1,5,100.00,28-Mar-2024
461,CHOLAFIN,N9,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.01,1,1,100.00,28-Mar-2024
462,CHOLAFIN,NB,990.0,990.0,990.0,990.0,990.0,10,0.1,1,10,100.00,28-Mar-2024
463,CHOLAFIN,NJ,981.0,981.0,981.0,981.0,981.0,10,0.1,1,10,100.00,28-Mar-2024
464,CHOLAHLDNG,EQ,1108.0,1123.0,1082.8,1111.5,1096.05,85097,933.65,12490,55880,65.67,28-Mar-2024
465,CIEINDIA,EQ,455.9,467.0,452.75,461.8,453.05,515443,2366.88,29704,224003,43.46,28-Mar-2024
466,CIGNITITEC,EQ,1268.0,1280.0,1260.0,1265.85,1249.05,100752,1280.19,5922,60741,60.29,28-Mar-2024
467,CINELINE,EQ,127.0,130.0,120.8,121.85,125.8,83204,102.37,1487,59864,71.95,28-Mar-2024
468,CINEVISTA,EQ,18.25,18.75,18.05,18.25,18.45,22134,4.05,526,15337,69.29,28-Mar-2024
469,CIPLA,EQ,1472.0,1514.2,1461.15,1496.95,1463.35,2110407,31501.28,109999,1024692,48.55,28-Mar-2024
470,CLEAN,EQ,1356.0,1360.0,1316.15,1329.35,1348.25,226251,3017.49,27095,118152,52.22,28-Mar-2024
471,CLEDUCATE,EQ,86.0,87.45,84.55,85.65,85.5,64495,55.26,860,38401,59.54,28-Mar-2024
472,CLOUD,SM,42.4,42.4,42.4,42.4,44.6,98000,41.55,91,98000,100.00,28-Mar-2024
473,CLSEL,EQ,207.0,210.5,202.55,203.55,206.95,69965,143.91,3826,42661,60.97,28-Mar-2024
474,CLSL,SM,37.0,37.75,36.8,36.8,37.0,100000,37.09,43,92000,92.00,28-Mar-2024
475,CMMIPL,ST,1.6,1.6,1.6,1.6,1.65,276000,4.42,9,276000,100.00,28-Mar-2024
476,CMNL,SM,80.6,83.0,79.95,80.05,79.7,37500,30.46,24,27000,72.00,28-Mar-2024
477,CMRSL,SM,132.1,140.0,129.0,129.65,133.0,5600,7.44,7,5600,100.00,28-Mar-2024
478,CMSINFO,EQ,394.2,394.2,387.8,390.65,389.2,403470,1576.52,23907,258436,64.05,28-Mar-2024
