CompanyName,PrevSymbol,NewSymbol,Date
Igarashi Motors India Limited,CGIGARSH,IGARASHI,21-04-2005
Imagicaaworld Entertainment Limited,ADLABS,IMAGICAA,22-04-2020
Indbank Merchant Banking Services Limited,INDBANKMER,INDBANK,08-10-2008
India Infoline Finance Limited,IIISL,IIFLFIN,27-08-2012
Indo Count Industries Limited,INDOCOUNT,ICIL,12-09-2005
Indus Towers Limited,INFRATEL,INDUSTOWER,18-12-2020
Infomedia India Limited,TATAPRESS,TATAINFO,17-09-2003
Infosys Limited,INFOSYSTCH,INFY,29-06-2011
Insecticides (India) Limited,IILTD,INSECTICID,11-05-2009
Inspirisys Solutions Limited,AFL,INSPIRISYS,12-10-2018
Interise Trust,INDINFR,INTERISE,12-11-2024
Interise Trust,INTERISE,INTERISE,12-11-2024
Invesco India Gold Exchange Traded Fund,RELIGAREGO,IVZINGOLD,23-06-2016
Invesco India Nifty Exchange Traded Fund,RELGRNIFTY,IVZINNIFTY,23-06-2016
Invesco MF – Invesco India AIF - Sr 1 - Pl B - DS-P-GO,RIMFAI1BDG,IVZINA1BDG,23-06-2016
Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,RIMFAI1BRG,IVZINA1BRG,23-06-2016
JBM Auto Limited,JBMAUTOCOM,JBMA,04-01-2006
JD Orgochem Limited,JAYSYNTDYE,JDORGO,13-09-2004
JSW Holdings Limited,JINDALSWHL,JSWHL,30-07-2013
JSW ISPAT Steel Limited,ISPATIND,JSWISPAT,16-08-2011
JSW Ispat Special Products Limited,AIONJSW,JSWISPL,12-10-2020
JSW Steel Limited,JSWSTL,JSWSTEEL,16-09-2005
JTL INDUSTRIES LIMITED,JTLINFRA,JTLIND,21-11-2022
Jai Balaji Industries Limited,BALASPONGE,JAIBALAJI,10-08-2007
Jaiprakash Power Ventures Limited,JPHYDRO,JPPOWER,08-01-2010
Jayaswal Neco Industries Limited,NAGPURENG,JAYNECOIND,22-02-2008
Jindal Saw Limited,SAWPIPES,JINDALSAW,18-02-2005
Jindal Stainless Limited,JSTAINLESS,JSL,23-10-2008
Johnson Controls - Hitachi Air Conditioning India Limited,HITACHIHOM,JCHAC,12-09-2016
Johnson Controls - Hitachi Air Conditioning India Limited,AMTREXAPPL,HITACHIHOM,04-04-2006
Jtekt India Limited,SONASTEER,JTEKTINDIA,23-04-2018
Jubilant Pharmova Limited,VAMORGANIC,JUBILANT,30-09-2003
Jubilant Pharmova Limited,JUBILANT,JUBLPHARMA,12-02-2021
Jupiter Wagons Limited,CEBBCO,JWL,20-06-2022
KBC Global Limited,KARDA,KBCGLOBAL,16-12-2021
KPI Green Energy Limited,KPIGLOBAL,KPIGREEN,27-04-2022
KSS Limited,KSERAPRO,KSERASERA,07-03-2011
Kalpataru Projects International Limited,KALPATPOWR,KPIL,06-06-2023
Kalyani Steels Limited,KALYANISTL,KALSTEELS,21-10-2008
Kamdhenu Limited,KIL,KAMDHENU,18-03-2016
Kansai Nerolac Paints Limited,GOODLASNER,KANSAINER,26-07-2006
Karuturi Global Limited,KNL,KGL,20-11-2008
Kennametal India Limited,WIDIA,KENNAMET,19-08-2019
Kesar Enterprises Limited,KESARENTER,KESARENT,02-01-2007
Keynote Financial Services Limited,KEYCORPSER,KEYFINSERV,03-05-2019
Kinetic Motor Company Limited,KINHONDA,KINETICMOT,20-09-2004
Kingfisher Airlines Limited,AIRDECCAN,KFA,06-10-2008
Kiri Industries Limited,KIRIDYES,KIRIINDUS,28-03-2011
Kirloskar Electric Company Limited,KIRELECTRI,KECL,09-03-2010
Kohinoor Foods Limited,SATNAMOVER,KOHINOOR,18-08-2006
Kokuyo Camlin Limited,CAMLIN,KOKUYOCMLN,14-02-2012
Kotak Mahindra Bank Limited,KOTAKMAH,KOTAKBANK,21-04-2003
Kotak Mahindra MF - Kotak NV 20 ETF - DPO,KTKNV20ETF,KOTAKNV20,21-12-2015
Kotak Mahindra Mutual Fund - Kotak Nifty 1D Rate Liquid ETF,KOTAKLIQ,LIQUID1,20-03-2024
Kotak Mahindra Mutual Fund - Kotak Nifty Alpha 50 ETF,KOTAKALPHA,ALPHA,20-03-2024
Kotak Mahindra Mutual Fund - Kotak Nifty MNC ETF,KOTAKMNC,MNC,20-03-2024
Kotak Mahindra Mutual Fund - Kotak Silver ETF,KOTAKSILVE,SILVER1,16-04-2024
Kotak Mutual Fund - Gold Exchange Traded Fund,KOTAKGOLD,GOLD1,16-04-2024
Kotak Nifty 100 Low Volatility 30 ETF,KOTAKLOVOL,LOWVOL1,20-03-2024
Kotak Nifty 50 ETF,KOTAKNIFTY,NIFTY1,20-03-2024
Kotak Nifty Bank ETF,KOTAKBKETF,BANKNIFTY1,20-03-2024
Kotak Nifty IT ETF,KOTAKIT,IT,20-03-2024
Kotak Nifty India Consumption ETF,KOTAKCONS,CONS,20-03-2024
Kotak Nifty Midcap 50 ETF,KOTAKMID50,MIDCAP,20-03-2024
Kotak Nifty PSU Bank ETF,KOTAKPSUBK,PSUBANK,20-03-2024
Ksb Limited,KSBPUMPS,KSB,23-10-2018
Kundan Minerals and Metals Limited,EASTSUGIND,KUNDANMM,09-10-2024
L&T Finance Limited,L&TFH,LTF,23-04-2024
L&T Fixed Maturity Plan Series - VI Plan F,FIFMPS6FG,LTFMPS6FG,14-01-2013
L&T Fixed Maturity Plane Series - VI Plan E,FIFMPS6EG,LTFMPS6EG,14-01-2013
L&T Fixed Maturiy Plan Series - VI Plan F,FIFMPS6ED,LTFMPS6ED,14-01-2013
LEEL Electricals Limited,LLOYDELENG,LEEL,19-06-2017
LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,LICNFENGP,LICNETFN50,30-12-2015
LIC MF - LIC MF G-sec LT ETF - GO,LICNMFET,LICNETFGSC,30-12-2015
LIC MF Gold EXCHANGE TRADED FUND,IDBIGOLD,LICMFGOLD,31-07-2023
LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,LICNFESGP,LICNETFSEN,30-12-2015
LLOYDS ENGINEERING WORKS LIMITED,LSIL,LLOYDSENGG,16-10-2023
LMW Limited,LAXMIMACH,LMW,10-10-2024
LT Foods Limited,DAAWAT,LTFOODS,06-11-2023
LTIMindtree Limited,LTI,LTIM,05-12-2022
Linc Limited,LINCPEN,LINC,20-12-2021
Linde India Limited,IOL,BOC,10-03-2005
Linde India Limited,BOC,LINDEINDIA,10-04-2013
Lotte India Corporation Limited,PARRYSCON,LOTTEINDIA,17-12-2004
MIRAE ASSET MUTUAL FUND - Mirae Asset Nifty 100 ESG Sector Leaders ETF,MAESGETF,ESG,01-09-2023
MM Forgings Limited,MMFORGINGS,MMFL,20-12-2006
MODISON LIMITED,MODISNME,MODISONLTD,16-08-2022
MPS Limited,MACMILLAN,MPSLTD,11-09-2009
Maan Aluminium Limited,MANALU,MAANALU,16-03-2011
Madura Coats Limited,COATVIYELA,MADURACOAT,29-11-2002
Mahindra CIE Automotive Limited,MAHINDFORG,MAHINDCIE,17-12-2013
Mahindra Lifespace Developers Limited,GESCOCORP,MAHLIFE,23-11-2007
Man Industries (India) Limited,MANALUMN,MANINDS,24-06-2005
Marico Limited,MARICOIND,MARICO,14-06-2005
Marksans Pharma Limited,TASCPHARMA,MARKSANS,14-11-2005
Max Financial Services Limited,MAX,MFSL,26-02-2016
Mercator Limited,MLL,MERCATOR,08-12-2011
Metalyst Forgings Limited,AHMEDFORGE,METALFORGE,01-06-2015
Metkore Alloys & Industries Limited,GMRFER,CRONIMET,02-06-2010
Metkore Alloys & Industries Limited,CRONIMET,METKORE,02-04-2012
Micro Inks Limited,HINDINKS,MICRO,26-03-2004
Mirae Asset Mutual Fund - MIRAE ASSET NIFTY NEXT 50 ETF (MANXT50) - Mi,MANXT50,NEXT50,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Gold ETF,MAGOLDETF,GOLDETF,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty 100 Low Volatility 30 ETF,MANV30F,LOWVOL,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty 50 ETF,MAN50ETF,NIFTYETF,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty 8-13 yr G-Sec ETF,MAGS813ETF,GSEC10YEAR,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty Financial Services ETF,MAFSETF,BFSI,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty India Manufacturing ETF,MAMFGETF,MAKEINDIA,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,MAM150ETF,MIDCAPETF,01-09-2023
Mirae Asset Mutual Fund - Mirae Asset Silver ETF,MASILVER,SILVRETF,01-09-2023
Mirza International Limited,MIRZATAN,MIRZAINT,05-07-2006
Mohota Industries Limited,MOHOTAMILL,MOHOTAIND,26-12-2017
Mohota Industries Limited,RAIREKMOH,MOHOTAMILL,01-08-2017
Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G Sec ETF - Growth,G5,MOGSEC,16-06-2021
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,M100,MOM100,16-06-2021
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,M50,MOM50,16-06-2021
Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,N100,MON100,16-06-2021
MphasiS Limited,MPHASISBFL,MPHASIS,26-12-2006
MphasiS Limited,BFLSOFTWAR,MPHASISBFL,15-06-2004
NACL Industries Limited,NAGAAGRI,NACLIND,29-09-2017
NAVA LIMITED,NAVBARFERO,NBVENTURES,31-07-2006
NAVA LIMITED,NBVENTURES,NAVA,29-07-2022
NCC Limited,NAGARCONST,NCC,15-03-2011
NDL Ventures Limited,NXTDIGITAL,NDLVENTURE,09-05-2023
NIPPON INDIA ETF CONSUMPTION,RELCONS,NETFCONSUM,30-10-2019
NIPPON INDIA ETF CONSUMPTION,NETFCONSUM,CONSUMBEES,10-05-2022
NIPPON INDIA ETF LONG TERM GILT,RRSLGETF,NETFLTGILT,08-07-2016
NIPPON INDIA ETF NIFTY 100,RELCNX100,NETFNIF100,30-10-2019
NIPPON INDIA ETF NIFTY 100,NETFNIF100,NIF100BEES,10-05-2022
NIPPON INDIA ETF NIFTY MIDCAP 150,RETFMID150,NETFMID150,30-10-2019
NIPPON INDIA ETF NIFTY MIDCAP 150,NETFMID150,MID150BEES,10-05-2022
NIPPON INDIA ETF NV20,RELNV20,NETFNV20,22-06-2015
NIPPON INDIA ETF NV20,NETFNV20,NV20BEES,10-05-2022
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DP-GO,RDAIIIADG,NDAIIIADG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DPO,RDAIIIARD,NDAIIIARD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - GO,RDAIIIARG,NDAIIIARG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-DPO,RDAIXDDD,NDAIXDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-GO,RDAIXDDG,NDAIXDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DPO,RDAIXDD,NDAIXDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - GO,RDAIXDG,NDAIXDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-DPO,RDAIXEDDD,NDAIXEDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-GO,RDAIXEDDG,NDAIXEDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DPO,RDAIXEDD,NDAIXEDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - GO,RDAIXEDG,NDAIXEDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-DPO,RDAIXFDDD,NDAIXFDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-GO,RDAIXFDDG,NDAIXFDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DPO,RDAIXFDD,NDAIXFDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - GO,RDAIXFDG,NDAIXFDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl C - DP-GO,RDAVIIPCDG,NDAVIIPCDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-DPO,RDAVIIPDDD,NDAVIIPDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-GO,RDAVIIPDDG,NDAVIIPDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DPO,RDAVIIPDD,NDAVIIPDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - O,RDAVIIPDG,NDAVIIPDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DP-DPO,RDAFVIIICX,NDAFVIIICX,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DPO,RDAFVIIICD,NDAFVIIICD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-DPO,RDAXADDD,NDAXADDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-GO,RDAXADDG,NDAXADDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DPO,RDAXADD,NDAXADD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - GO,RDAXADG,NDAXADG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-DPO,RDAXDDDD,NDAXDDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-GO,RDAXDDDG,NDAXDDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DPO,RDAXDDD,NDAXDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - GO,RDAXDDG,NDAXDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO ,RDAFTVCDG,NDAFTVCDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DPO,RDAFTFVCD,NDAFTFVCD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - GO,RDAFTFVCG,NDAFTFVCG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DP - DPO,RDAXICDDD,NDAXICDDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DP - GO,RDAXICDDG,NDAXICDDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DPO,RDAXICDD,NDAXICDD,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - GO,RDAXICDG,NDAXICDG,30-10-2019
NIPPON INDIA MF - NIPPON INDIA IF - AIF S-I - IDR,RMFINAIDR1,NMFINAIDR1,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Intr Fund - QIF SR I-DIV,RMFINQADP1,NMFINQADP1,30-10-2019
NIPPON INDIA MF - NIPPON INDIA Intr Fund - QIF SR I-GRW,RMFINQRAG1,NMFINQRAG1,30-10-2019
NIPPON INDIA MF - Nippon India DA Fixed Tenure Fund   Sr x Plan B - GO,RDAXBDG,NDAXBDG,30-10-2019
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B - DPO,RDAXBDD,NDAXBDD,30-10-2019
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B-DP-DPO,RDAXBDDD,NDAXBDDD,30-10-2019
NIPPON INDIA MF-Nippon India  Dual Adv. Fix. Ten. Fund Sr.x Plan C-GO,RDAXCDG,NDAXCDG,30-10-2019
NIPPON INDIA MF-Nippon India  Dual Adv. Fix.Ten. Fund Sr.x Plan C-DPO,RDAXCDD,NDAXCDD,30-10-2019
NIPPON INDIA MF-Nippon India DA Fixed Tenure Fund Sr x Plan B -DP - GO,RDAXBDDG,NDAXBDDG,30-10-2019
NIPPON INDIA MF-Nippon India Dual Adv.FixTen. Fund Sr.x Plan C-DP-GO,RDAXCDDG,NDAXCDDG,30-10-2019
NIPPON INDIA MF-Nippon India DualAdv. Fix.Ten. Fund Sr.x Plan C-DP-DPO,RDAXCDDD,NDAXCDDD,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-D,RDAFTFIVCD,NDAFTFIVCD,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DD,RDAFTIVCDD,NDAFTIVCDD,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DG,RDAFTIVCDG,NDAFTIVCDG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-G,RDAFTFIVCG,NDAFTFIVCG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - DP,RDAFTIIPGD,NDAFTIIPGD,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - Growth,RDAFTIIPGG,NDAFTIIPGG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan A - GO,RDAXIADG,NDAXIADG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPDPO,RDAXIDDDD,NDAXIDDDD,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPGO,RDAXIDDDG,NDAXIDDDG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-GO,RDAXIDDG,NDAXIDDG,30-10-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XII Plan A-DPDPO,RDAXIIADDD,NDAXIIADDD,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPDPO,RDAFDVHDR,NDAFDVHDR,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,RDAFDVHGR,NDAFDVHGR,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPO,RDAFTVHDR,NDAFTVHDR,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - GO,RDAFTVHGR,NDAFTVHGR,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPDPO,RDAXIADDD,NDAXIADDD,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPGO,RDAXIADDG,NDAXIADDG,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPO,RDAXIADD,NDAXIADD,30-10-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad Fixed Tenure Fund Seri,RDAXFDDD,NDAXFDDD,30-10-2019
NIPPON INDIA MUTUAL FUND -NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDD,NDAXFDD,30-10-2019
NIPPON INDIA MUTUAL FUND -NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDG,NDAXIEDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI Plan D-DPO,RDAXIDDD,NDAXIDDD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI Sr XI Plan B-DPO,RDAXIBDD,NDAXIBDD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI SrXI Plan B-DPGO,RDAXIBDDG,NDAXIBDDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-DPGO,RDAXIIADDG,NDAXIIADDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-DPO,RDAXIIADD,NDAXIIADD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-GO,RDAXIIADG,NDAXIIADG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDDG,NDAXFDDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDG,NDAXFDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDD,NDAFVGDD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDG,NDAFVGDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDO,NDAFVGDO,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGGO,NDAFVGGO,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDD,NDAXIEDD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDD,NDAXIEDDD,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDG,NDAXIEDDG,30-10-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Int.Fund-QIF-SI-IP-DP-DPO,RMFINQIDP1,NMFINQIDP1,30-10-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI Sr XI Plan B - GO,RDAXIBDG,NDAXIBDG,30-10-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI SrXI Plan B-DPDPO,RDAXIBDDD,NDAXIBDDD,30-10-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-AIF-SI - RP- DP - RO,RMFINARDR1,NMFINARDR1,30-10-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-QIF-SI-RP-DP-DPO,RMFINQRDP1,NMFINQRDP1,30-10-2019
NLC India Limited,NEYVELILIG,NLCINDIA,04-08-2016
NXTDIGITAL LIMITED,HINDUJATMT,HINDUJAVEN,29-11-2007
NXTDIGITAL LIMITED,HINDUJAVEN,NXTDIGITAL,11-11-2019
Nagreeka Exports Limited,NAGREKAEXP,NAGREEKA,22-12-2005
Nahar Poly Films Limited,NAHARINVST,NAHARPOLY,15-06-2011
Nahar Poly Films Limited,NAHAREXPOT,NAHARINVST,01-11-2007
Nalwa Sons Investments Limited,JSTRIPS,NSIL,07-06-2005
Nandan Denim Limited,NANDANEXIM,NDL,21-11-2013
Nandani Creation Limited,NANDANI,JAIPURKURT,06-08-2021
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL,19-09-2013
Net 4 India Limited,NET4INDIA,NET4,28-02-2011
Netvista Information Technology Limited,KRAFTIND,NETVISTAIT,09-08-2000
Neueon Towers Limited,SUJANATWR,NTL,17-02-2017
Next Mediaworks Limited,MID-DAY,NEXTMEDIA,15-06-2011
Nido Home Finance Limited,EHFLNCD,NIDO,18-07-2023
Nilkamal Limited,NILKAMPLST,NILKAMAL,05-01-2007
Nippon India Mutual Fund - ETF Nifty SDL - 2026 Maturity,NETFSDL26,SDL26BEES,10-05-2022
Nippon India Mutual Fund - Nippon India ETF 5 Year Gilt,NETFGILT5Y,GILT5YBEES,10-05-2022
Nippon India Mutual Fund - Nippon India Nifty Auto ETF,NETFAUTO,AUTOBEES,10-05-2022
Nippon India Mutual Fund - Nippon India Nifty Pharma ETF,NETFPHARMA,PHARMABEES,10-05-2022
Nippon India Mutual Fund - Nippon India Silver ETF,NETFSILVER,SILVERBEES,10-05-2022
Nippon India Mutual Fund-Nippon India ETF Nifty CPSE Bond Plus SDL-24,NCPSESDL24,SDL24BEES,10-05-2022
Nippon Life India Asset Management Limited,RNAM,NAM-INDIA,23-01-2020
Nippon Life India Asset Management Limited,NETFIT,ITBEES,10-05-2022
Noesis Industries Limited,MEDIA,MVLIND,20-02-2009
Noesis Industries Limited,MVLIND,NOESISIND,04-06-2014
NuCent Finance Limited,PRESSMAN,NUCENTFIN,20-08-2001
OCL India Limited,ORISSACEM,OCL,15-09-2004
OM INFRA LIMITED,OMMETALS,OMINFRAL,10-02-2021
ORIENT CERATECH LIMITED,ORIENTABRA,ORIENTCER,31-07-2023
ORTIN GLOBAL LIMITED,ORTINLAB,ORTINGLOBE,03-09-2024
Oberoi Realty Limited,OBEROIREAL,OBEROIRLTY,10-12-2010
Olectra Greentech Limited,GOLDTELE,GOLDINFRA,29-02-2008
Olectra Greentech Limited,GOLDINFRA,OLECTRA,26-07-2018
Oracle Financial Services Software Limited,I-FLEX,OFSS,18-09-2008
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR,21-12-2015
Orient Bell Limited,ORIENTCERA,ORIENTBELL,17-04-2012
Oriental Trimex Limited,OTL,ORIENTALTL,17-12-2009
Oswal Greentech Limited,BINDALAGRO,OSWALGREEN,19-05-2023
PAE Limited,PREMAUTOEL,PAEL,23-11-2005
PGIM India Dual Advantage Fund - Series 1 - DPG,DPRMDAD1,PGIMDAD1G,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - DPQDPO,DPRMDAD3,PGIMDAD3D,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - DPRDPO,DPRMDAD2,PGIMDAD2D,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - RPADPO,DPRMDAAD,PGIMDAADD,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - RPG,DPRMDAGP,PGIMDAGPG,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - RPQDPO,DPRMDAQD,PGIMDAQDD,22-08-2019
PGIM India Dual Advantage Fund - Series 1 - RPRDPO,DPRMDADP,PGIMDADPD,22-08-2019
PGIM India Fixed Duration Fund - Series 31 - DPG,PRM1SD1,PGIM1SD1G,22-08-2019
PGIM India Fixed Duration Fund - Series 31 - RPDPO,PRM1SDP,PGIM1SDPD,22-08-2019
PGIM India Fixed Duration Fund - Series 31 - RPG,PRM1SGP,PGIM1SGPG,22-08-2019
PGIM India Fixed Duration Fund - Series AA - DPG,DPRMAAD1,PGIMAAD1G,22-08-2019
PGIM India Fixed Duration Fund - Series AA - DPQDPO,DPRMAAD3,PGIMAAD3D,22-08-2019
PGIM India Fixed Duration Fund - Series AA - RPADPO,DPRMAAAD,PGIMAAADD,22-08-2019
