,SYMBOL,Name of Company
625,GLS,Glenmark Life Sciences Limited
626,GMBREW,GM Breweries Limited
627,GMDCLTD,Gujarat Mineral Development Corporation Limited
628,GMMPFAUDLR,GMM Pfaudler Limited
629,GMRINFRA,GMR Airports Infrastructure Limited
630,GMRP&UI,GMR Power and Urban Infra Limited
631,GNA,GNA Axles Limited
632,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
633,GOACARBON,Goa Carbon Limited
634,GOCLCORP,GOCL Corporation Limited
635,GOCOLORS,Go Fashion (India) Limited
636,GODFRYPHLP,Godfrey Phillips India Limited
637,GODHA,Godha Cabcon & Insulation Limited
638,GODIGIT,Go Digit General Insurance Limited
639,GODREJAGRO,Godrej Agrovet Limited
640,GODREJCP,Godrej Consumer Products Limited
641,GODREJIND,Godrej Industries Limited
642,GODREJPROP,Godrej Properties Limited
643,GOENKA,Goenka Diamond and Jewels Limited
644,GOKEX,Gokaldas Exports Limited
645,GOKUL,Gokul Refoils and Solvent Limited
646,GOKULAGRO,Gokul Agro Resources Limited
647,GOLDENTOBC,Golden Tobacco Limited
648,GOLDIAM,Goldiam International Limited
649,GOLDTECH,AION-TECH SOLUTIONS LIMITED
650,GOODLUCK,Goodluck India Limited
651,GOPAL,Gopal Snacks Limited
652,GOYALALUM,Goyal Aluminiums Limited
653,GPIL,Godawari Power And Ispat limited
654,GPPL,Gujarat Pipavav Port Limited
655,GPTHEALTH,GPT Healthcare Limited
656,GPTINFRA,GPT Infraprojects Limited
657,GRANULES,Granules India Limited
658,GRAPHITE,Graphite India Limited
659,GRASIM,Grasim Industries Limited
660,GRAVITA,Gravita India Limited
661,GREAVESCOT,Greaves Cotton Limited
662,GREENLAM,Greenlam Industries Limited
663,GREENPANEL,Greenpanel Industries Limited
664,GREENPLY,Greenply Industries Limited
665,GREENPOWER,Orient Green Power Company Limited
666,GRINDWELL,Grindwell Norton Limited
667,GRINFRA,G R Infraprojects Limited
668,GRMOVER,GRM Overseas Limited
669,GROBTEA,The Grob Tea Company Limited
670,GRPLTD,GRP Limited
671,GRSE,Garden Reach Shipbuilders & Engineers Limited
672,GRWRHITECH,Garware Hi-Tech Films Limited
673,GSFC,Gujarat State Fertilizers & Chemicals Limited
674,GSLSU,Global Surfaces Limited
675,GSPL,Gujarat State Petronet Limited
676,GSS,GSS Infotech Limited
677,GTECJAINX,G-TEC JAINX EDUCATION LIMITED
678,GTL,GTL Limited
679,GTLINFRA,GTL Infrastructure Limited
680,GTPL,GTPL Hathway Limited
681,GUFICBIO,Gufic Biosciences Limited
682,GUJALKALI,Gujarat Alkalies and Chemicals Limited
683,GUJAPOLLO,Gujarat Apollo Industries Limited
684,GUJGASLTD,Gujarat Gas Limited
685,GUJRAFFIA,Gujarat Raffia Industries Limited
686,GULFOILLUB,Gulf Oil Lubricants India Limited
687,GULFPETRO,GP Petroleums Limited
688,GULPOLY,Gulshan Polyols Limited
689,GVKPIL,GVK Power & Infrastructure Limited
690,GVPTECH,GVP Infotech Limited
691,HAL,Hindustan Aeronautics Limited
692,HAPPSTMNDS,Happiest Minds Technologies Limited
693,HAPPYFORGE,Happy Forgings Limited
694,HARDWYN,Hardwyn India Limited
695,HARIOMPIPE,Hariom Pipe Industries Limited
696,HARRMALAYA,Harrisons  Malayalam Limited
697,HARSHA,Harsha Engineers International Limited
698,HATHWAY,Hathway Cable & Datacom Limited
699,HATSUN,Hatsun Agro Product Limited
700,HAVELLS,Havells India Limited
701,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
702,HBLPOWER,HBL Power Systems Limited
703,HBSL,HB Stockholdings Limited
704,HCC,Hindustan Construction Company Limited
705,HCG,Healthcare Global Enterprises Limited
706,HCL-INSYS,HCL Infosystems Limited
707,HCLTECH,HCL Technologies Limited
708,HDFCAMC,HDFC Asset Management Company Limited
709,HDFCBANK,HDFC Bank Limited
710,HDFCLIFE,HDFC Life Insurance Company Limited
711,HEADSUP,Heads UP Ventures Limited
712,HECPROJECT,HEC Infra Projects Limited
713,HEG,HEG Limited
714,HEIDELBERG,HeidelbergCement India Limited
715,HEMIPROP,Hemisphere Properties India Limited
716,HERANBA,Heranba Industries Limited
717,HERCULES,Hercules Hoists Limited
718,HERITGFOOD,Heritage Foods Limited
719,HEROMOTOCO,Hero MotoCorp Limited
720,HESTERBIO,Hester Biosciences Limited
721,HEUBACHIND,Heubach Colorants India Limited
722,HEXATRADEX,Hexa Tradex Limited
723,HFCL,HFCL Limited
724,HGINFRA,H.G. Infra Engineering Limited
725,HGS,Hinduja Global Solutions Limited
726,HIKAL,Hikal Limited
727,HIL,HIL Limited
728,HILTON,Hilton Metal Forging Limited
729,HIMATSEIDE,Himatsingka Seide Limited
730,HINDALCO,Hindalco Industries Limited
731,HINDCOMPOS,Hindustan Composites Limited
732,HINDCON,Hindcon Chemicals Limited
733,HINDCOPPER,Hindustan Copper Limited
734,HINDMOTORS,Hindustan Motors Limited
735,HINDOILEXP,Hindustan Oil Exploration Company Limited
736,HINDPETRO,Hindustan Petroleum Corporation Limited
737,HINDUNILVR,Hindustan Unilever Limited
738,HINDWAREAP,Hindware Home Innovation Limited
739,HINDZINC,Hindustan Zinc Limited
740,HIRECT,Hind Rectifiers Limited
741,HISARMETAL,Hisar Metal Industries Limited
742,HITECH,Hi-Tech Pipes Limited
743,HITECHCORP,Hitech Corporation Limited
744,HITECHGEAR,The Hi-Tech Gears Limited
745,HLEGLAS,HLE Glascoat Limited
746,HLVLTD,HLV LIMITED
747,HMAAGRO,HMA Agro Industries Limited
748,HMT,HMT Limited
749,HMVL,Hindustan Media Ventures Limited
750,HNDFDS,Hindustan Foods Limited
751,HOMEFIRST,Home First Finance Company India Limited
752,HONASA,Honasa Consumer Limited
753,HONAUT,Honeywell Automation India Limited
754,HONDAPOWER,Honda India Power Products Limited
755,HOVS,HOV Services Limited
756,HPAL,HP Adhesives Limited
757,HPIL,Hindprakash Industries Limited
758,HPL,HPL Electric & Power Limited
759,HSCL,Himadri Speciality Chemical Limited
760,HTMEDIA,HT Media Limited
761,HUBTOWN,Hubtown Limited
762,HUDCO,Housing & Urban Development Corporation Limited
763,HUHTAMAKI,Huhtamaki India Limited
764,HYBRIDFIN,Hybrid Financial Services Limited
765,ICDSLTD,ICDS Limited
766,ICEMAKE,Ice Make Refrigeration Limited
767,ICICIBANK,ICICI Bank Limited
768,ICICIGI,ICICI Lombard General Insurance Company Limited
769,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
770,ICIL,Indo Count Industries Limited
771,ICRA,ICRA Limited
772,IDBI,IDBI Bank Limited
773,IDEA,Vodafone Idea Limited
774,IDEAFORGE,Ideaforge Technology Limited
775,IDFC,IDFC Limited
776,IDFCFIRSTB,IDFC First Bank Limited
777,IEL,Indiabulls Enterprises Limited
778,IEX,Indian Energy Exchange Limited
779,IFBAGRO,IFB Agro Industries Limited
780,IFBIND,IFB Industries Limited
781,IFCI,IFCI Limited
782,IFGLEXPOR,IFGL Refractories Limited
783,IGARASHI,Igarashi Motors India Limited
784,IGL,Indraprastha Gas Limited
785,IGPL,IG Petrochemicals Limited
786,IIFL,IIFL Finance Limited
787,IIFLSEC,IIFL Securities Limited
788,IITL,Industrial Investment Trust Limited
789,IKIO,IKIO Lighting Limited
790,IL&FSENGG,IL&FS Engineering and Construction Company Limited
791,IL&FSTRANS,IL&FS Transportation Networks Limited
792,IMAGICAA,Imagicaaworld Entertainment Limited
793,IMFA,Indian Metals & Ferro Alloys Limited
794,IMPAL,India Motor Parts and Accessories Limited
795,IMPEXFERRO,Impex Ferro Tech Limited
796,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
797,INDBANK,Indbank Merchant Banking Services Limited
798,INDGN,Indegene Limited
799,INDHOTEL,The Indian Hotels Company Limited
800,INDIACEM,The India Cements Limited
801,INDIAGLYCO,India Glycols Limited
802,INDIAMART,Indiamart Intermesh Limited
803,INDIANB,Indian Bank
804,INDIANCARD,Indian Card Clothing Company Limited
805,INDIANHUME,Indian Hume Pipe Company Limited
806,INDIASHLTR,India Shelter Finance Corporation Limited
807,INDIGO,InterGlobe Aviation Limited
808,INDIGOPNTS,Indigo Paints Limited
809,INDNIPPON,India Nippon Electricals Limited
810,INDOAMIN,Indo Amines Limited
811,INDOBORAX,Indo Borax & Chemicals Limited
812,INDOCO,Indoco Remedies Limited
813,INDORAMA,Indo Rama Synthetics (India) Limited
814,INDOSTAR,IndoStar Capital Finance Limited
815,INDOTECH,Indo Tech Transformers Limited
816,INDOTHAI,Indo Thai Securities Limited
817,INDOWIND,Indowind Energy Limited
818,INDRAMEDCO,Indraprastha Medical Corporation Limited
819,INDSWFTLAB,Ind-Swift Laboratories Limited
820,INDSWFTLTD,Ind-Swift Limited
821,INDTERRAIN,Indian Terrain Fashions Limited
822,INDUSINDBK,IndusInd Bank Limited
823,INDUSTOWER,Indus Towers Limited
824,INFIBEAM,Infibeam Avenues Limited
825,INFOBEAN,InfoBeans Technologies Limited
826,INFOMEDIA,Infomedia Press Limited
827,INFY,Infosys Limited
828,INGERRAND,Ingersoll Rand (India) Limited
829,INNOVACAP,Innova Captab Limited
830,INOXGREEN,Inox Green Energy Services Limited
831,INOXINDIA,INOX India Limited
832,INOXWIND,Inox Wind Limited
833,INSECTICID,Insecticides (India) Limited
834,INSPIRISYS,Inspirisys Solutions Limited
835,INTELLECT,Intellect Design Arena Limited
836,INTENTECH,Intense Technologies Limited
837,INTERARCH,Interarch Building Products Limited
838,INTLCONV,International Conveyors Limited
839,INVENTURE,Inventure Growth & Securities Limited
840,IOB,Indian Overseas Bank
841,IOC,Indian Oil Corporation Limited
842,IOLCP,IOL Chemicals and Pharmaceuticals Limited
843,IONEXCHANG,ION Exchange (India) Limited
844,IPCALAB,IPCA Laboratories Limited
845,IPL,India Pesticides Limited
846,IRB,IRB Infrastructure Developers Limited
847,IRCON,Ircon International Limited
848,IRCTC,Indian Railway Catering And Tourism Corporation Limited
849,IREDA,Indian Renewable Energy
850,IREDA,Indian Renewable Energy Development Agency Limited
851,IRFC,Indian Railway Finance Corporation Limited
852,IRIS,Iris Business Services Limited
853,IRISDOREME,Iris Clothings Limited
854,IRMENERGY,IRM Energy Limited
855,ISEC,ICICI Securities Limited
856,ISFT,Intrasoft Technologies Limited
857,ISGEC,Isgec Heavy Engineering Limited
858,ITC,ITC Limited
859,ITDC,India Tourism Development Corporation Limited
860,ITDCEM,ITD Cementation India Limited
861,ITI,ITI Limited
862,IVC,IL&FS Investment Managers Limited
863,IVP,IVP Limited
864,IWEL,Inox Wind Energy Limited
865,IXIGO,Le Travenues Technology Limited
866,IZMO,IZMO Limited
867,J&KBANK,The Jammu & Kashmir Bank Limited
868,JAGRAN,Jagran Prakashan Limited
869,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
870,JAIBALAJI,Jai Balaji Industries Limited
871,JAICORPLTD,Jai Corp Limited
872,JAIPURKURT,Nandani Creation Limited
873,JAMNAAUTO,Jamna Auto Industries Limited
874,JASH,Jash Engineering Limited
875,JAYAGROGN,Jayant Agro Organics Limited
876,JAYBARMARU,Jay Bharat Maruti Limited
877,JAYNECOIND,Jayaswal Neco Industries Limited
878,JAYSREETEA,Jayshree Tea & Industries Limited
879,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
880,JBMA,JBM Auto Limited
881,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
882,JETAIRWAYS,Jet Airways (India) Limited
883,JETFREIGHT,Jet Freight Logistics Limited
884,JGCHEM,J.G.Chemicals Limited
885,JHS,JHS Svendgaard Laboratories Limited
886,JINDALPHOT,Jindal Photo Limited
887,JINDALPOLY,Jindal Poly Films Limited
888,JINDALSAW,Jindal Saw Limited
889,JINDALSTEL,Jindal Steel & Power Limited
890,JINDRILL,Jindal Drilling And Industries Limited
891,JINDWORLD,Jindal Worldwide Limited
892,JIOFIN,Jio Financial Services Limited
893,JISLDVREQS,Jain Irrigation Systems Limited
894,JISLJALEQS,Jain Irrigation Systems Limited
895,JITFINFRA,JITF Infralogistics Limited
896,JKCEMENT,JK Cement Limited
897,JKIL,J.Kumar Infraprojects Limited
898,JKLAKSHMI,JK Lakshmi Cement Limited
899,JKPAPER,JK Paper Limited
900,JKTYRE,JK Tyre & Industries Limited
901,JLHL,Jupiter Life Line Hospitals Limited
902,JMA,Jullundur Motor Agency (Delhi) Limited
903,JMFINANCIL,JM Financial Limited
904,JNKINDIA,JNK India Limited
905,JOCIL,Jocil Limited
906,JPOLYINVST,Jindal Poly Investment and Finance Company Limited
907,JPPOWER,Jaiprakash Power Ventures Limited
908,JSFB,Jana Small Finance Bank Limited
909,JSL,Jindal Stainless Limited
910,JSWENERGY,JSW Energy Limited
911,JSWHL,JSW Holdings Limited
912,JSWINFRA,JSW Infrastructure Limited
913,JSWSTEEL,JSW Steel Limited
914,JTEKTINDIA,Jtekt India Limited
915,JTLIND,JTL INDUSTRIES LIMITED
916,JUBLFOOD,Jubilant Foodworks Limited
917,JUBLINDS,Jubilant Industries Limited
918,JUBLINGREA,Jubilant Ingrevia Limited
919,JUBLPHARMA,Jubilant Pharmova Limited
920,JUNIPER,Juniper Hotels Limited
921,JUSTDIAL,Just Dial Limited
922,JWL,Jupiter Wagons Limited
923,JYOTHYLAB,Jyothy Labs Limited
924,JYOTICNC,Jyoti CNC Automation Limited
925,JYOTISTRUC,Jyoti Structures Limited
926,KABRAEXTRU,Kabra Extrusion Technik Limited
927,KAJARIACER,Kajaria Ceramics Limited
928,KAKATCEM,Kakatiya Cement Sugar & Industries Limited
929,KALAMANDIR,Sai Silks (Kalamandir) Limited
930,KALYANI,Kalyani Commercials Limited
931,KALYANIFRG,Kalyani Forge Limited
932,KALYANKJIL,Kalyan Jewellers India Limited
933,KAMATHOTEL,Kamat Hotels (I) Limited
934,KAMDHENU,Kamdhenu Limited
935,KAMOPAINTS,Kamdhenu Ventures Limited
936,KANANIIND,Kanani Industries Limited
937,KANORICHEM,Kanoria Chemicals & Industries Limited
938,KANPRPLA,Kanpur Plastipack Limited
939,KANSAINER,Kansai Nerolac Paints Limited
940,KAPSTON,Kapston Services Limited
941,KARMAENG,Karma Energy Limited
942,KARURVYSYA,Karur Vysya Bank Limited
943,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
944,KAVVERITEL,Kavveri Telecom Products Limited
945,KAYA,Kaya Limited
946,KAYNES,Kaynes Technology India Limited
947,KBCGLOBAL,KBC Global Limited
948,KCP,KCP Limited
949,KCPSUGIND,KCP Sugar and Industries Corporation Limited
950,KDDL,KDDL Limited
951,KEC,KEC International Limited
952,KECL,Kirloskar Electric Company Limited
953,KEEPLEARN,DSJ Keep Learning Limited
954,KEI,KEI Industries Limited
955,KELLTONTEC,Kellton Tech Solutions Limited
956,KERNEX,Kernex Microsystems (India) Limited
957,KESORAMIND,Kesoram Industries Limited
958,KEYFINSERV,Keynote Financial Services Limited
959,KFINTECH,Kfin Technologies Limited
960,KHADIM,Khadim India Limited
961,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
962,KHAITANLTD,Khaitan (India) Limited
963,KHANDSE,Khandwala Securities Limited
964,KICL,Kalyani Investment Company Limited
965,KILITCH,Kilitch Drugs (India) Limited
966,KIMS,Krishna Institute of Medical Sciences Limited
967,KINGFA,Kingfa Science & Technology (India) Limited
968,KIOCL,KIOCL Limited
969,KIRIINDUS,Kiri Industries Limited
970,KIRLOSBROS,Kirloskar Brothers Limited
971,KIRLOSENG,Kirloskar Oil Engines Limited
972,KIRLOSIND,Kirloskar Industries Limited
973,KIRLPNU,Kirloskar Pneumatic Company Limited
974,KITEX,Kitex Garments Limited
975,KKCL,Kewal Kiran Clothing Limited
976,KMSUGAR,K.M.Sugar Mills Limited
977,KNRCON,KNR Constructions Limited
978,KOHINOOR,Kohinoor Foods Limited
979,KOKUYOCMLN,Kokuyo Camlin Limited
980,KOLTEPATIL,Kolte - Patil Developers Limited
981,KOPRAN,Kopran Limited
982,KOTAKBANK,Kotak Mahindra Bank Limited
983,KOTARISUG,Kothari Sugars And Chemicals Limited
984,KOTHARIPET,Kothari Petrochemicals Limited
985,KOTHARIPRO,Kothari Products Limited
986,KPIGREEN,KPI Green Energy Limited
987,KPIL,Kalpataru Projects International Limited
988,KPITTECH,KPIT Technologies Limited
989,KPRMILL,K.P.R. Mill Limited
990,KRBL,KRBL Limited
991,KREBSBIO,Krebs Biochemicals and Industries Limited
992,KRIDHANINF,Kridhan Infra Limited
993,KRISHANA,Krishana Phoschem Limited
994,KRITI,Kriti Industries (India) Limited
995,KRITIKA,Kritika Wires Limited
996,KRITINUT,Kriti Nutrients Limited
997,KRONOX,Kronox Lab Sciences Limited
998,KROSS,Kross Limited
999,KRSNAA,Krsnaa Diagnostics Limited
1000,KRYSTAL,Krystal Integrated Services Limited
1001,KSB,Ksb Limited
1002,KSCL,Kaveri Seed Company Limited
1003,KSHITIJPOL,Kshitij Polyline Limited
1004,KSL,Kalyani Steels Limited
1005,KSOLVES,Ksolves India Limited
1006,KTKBANK,The Karnataka Bank Limited
1007,KUANTUM,Kuantum Papers Limited
1008,LAGNAM,Lagnam Spintex Limited
1009,LAL,Lorenzini Apparels Limited
1010,LALPATHLAB,Dr. Lal Path Labs Ltd.
1011,LAMBODHARA,Lambodhara Textiles Limited
1012,LANCORHOL,Lancor Holdings Limited
1013,LANDMARK,Landmark Cars Limited
1014,LAOPALA,La Opala RG Limited
1015,LASA,Lasa Supergenerics Limited
1016,LATENTVIEW,Latent View Analytics Limited
1017,LATTEYS,Latteys Industries Limited
1018,LAURUSLABS,Laurus Labs Limited
1019,LAXMICOT,Laxmi Cotspin Limited
1020,LAXMIMACH,Lakshmi Machine Works Limited
1021,LCCINFOTEC,LCC Infotech Limited
1022,LEMONTREE,Lemon Tree Hotels Limited
1023,LEXUS,Lexus Granito (India) Limited
1024,LFIC,Lakshmi Finance & Industrial Corporation Limited
1025,LGBBROSLTD,LG Balakrishnan & Bros Limited
1026,LGHL,Laxmi Goldorna House Limited
1027,LIBAS,Libas Consumer Products Limited
1028,LIBERTSHOE,Liberty Shoes Limited
1029,LICHSGFIN,LIC Housing Finance Limited
1030,LICI,Life Insurance Corporation Of India
1031,LIKHITHA,Likhitha Infrastructure Limited
1032,LINC,Linc Limited
1033,LINCOLN,Lincoln Pharmaceuticals Limited
1034,LINDEINDIA,Linde India Limited
1035,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
1036,LLOYDSME,Lloyds Metals And Energy Limited
1037,LODHA,Macrotech Developers Limited
1038,LOKESHMACH,Lokesh Machines Limited
1039,LORDSCHLO,Lords Chloro Alkali Limited
1040,LOTUSEYE,Lotus Eye Hospital and Institute Limited
1041,LOVABLE,Lovable Lingerie Limited
1042,LOYALTEX,Loyal Textile Mills Limited
1043,LPDC,Landmark Property Development Company Limited
1044,LT,Larsen & Toubro Limited
1045,LTF,L&T Finance Limited
1046,LTFOODS,LT Foods Limited
1047,LTIM,LTIMindtree Limited
1048,LTTS,L&T Technology Services Limited
1049,LUMAXIND,Lumax Industries Limited
1050,LUMAXTECH,Lumax Auto Technologies Limited
1051,LUPIN,Lupin Limited
1052,LUXIND,Lux Industries Limited
1053,LXCHEM,Laxmi Organic Industries Limited
1054,LYKALABS,Lyka Labs Limited
1055,LYPSAGEMS,Lypsa Gems & Jewellery Limited
1056,M&M,Mahindra & Mahindra Limited
1057,M&MFIN,Mahindra & Mahindra Financial Services Limited
1058,MAANALU,Maan Aluminium Limited
1059,MACPOWER,Macpower CNC Machines Limited
1060,MADHAV,Madhav Marbles and Granites Limited
1061,MADHUCON,Madhucon Projects Limited
1062,MADRASFERT,Madras Fertilizers Limited
1063,MAGADSUGAR,Magadh Sugar & Energy Limited
1064,MAGNUM,Magnum Ventures Limited
1065,MAHABANK,Bank of Maharashtra
1066,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
1067,MAHASTEEL,Mahamaya Steel Industries Limited
1068,MAHEPC,Mahindra EPC Irrigation Limited
1069,MAHESHWARI,Maheshwari Logistics Limited
1070,MAHLIFE,Mahindra Lifespace Developers Limited
1071,MAHLOG,Mahindra Logistics Limited
1072,MAHSCOOTER,Maharashtra Scooters Limited
1073,MAHSEAMLES,Maharashtra Seamless Limited
1074,MAITHANALL,Maithan Alloys Limited
1075,MALLCOM,Mallcom (India) Limited
1076,MALUPAPER,Malu Paper Mills Limited
1077,MANAKALUCO,Manaksia Aluminium Company Limited
1078,MANAKCOAT,Manaksia Coated Metals & Industries Limited
1079,MANAKSIA,Manaksia Limited
1080,MANAKSTEEL,Manaksia Steels Limited
1081,MANALIPETC,Manali Petrochemicals Limited
1082,MANAPPURAM,Manappuram Finance Limited
1083,MANCREDIT,Mangal Credit and Fincorp Limited
1084,MANGALAM,Mangalam Drugs And Organics Limited
1085,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
1086,MANGLMCEM,Mangalam Cement Limited
1087,MANINDS,Man Industries (India) Limited
1088,MANINFRA,Man Infraconstruction Limited
1089,MANKIND,Mankind Pharma Limited
1090,MANOMAY,Manomay Tex India Limited
1091,MANORAMA,Manorama Industries Limited
1092,MANORG,Mangalam Organics Limited
1093,MANUGRAPH,Manugraph India Limited
1094,MANYAVAR,Vedant Fashions Limited
1095,MAPMYINDIA,C.E. Info Systems Limited
1096,MARALOVER,Maral Overseas Limited
1097,MARATHON,Marathon Nextgen Realty Limited
1098,MARICO,Marico Limited
1099,MARINE,Marine Electricals (India) Limited
1100,MARKSANS,Marksans Pharma Limited
1101,MARSHALL,Marshall Machines Limited
1102,MARUTI,Maruti Suzuki India Limited
1103,MASFIN,MAS Financial Services Limited
1104,MASKINVEST,Mask Investments Limited
1105,MASTEK,Mastek Limited
1106,MATRIMONY,Matrimony.Com Limited
1107,MAWANASUG,Mawana Sugars Limited
1108,MAXESTATES,Max Estates Limited
1109,MAXHEALTH,Max Healthcare Institute Limited
1110,MAXIND,Max India Limited
1111,MAYURUNIQ,Mayur Uniquoters Ltd
1112,MAZDA,Mazda Limited
1113,MAZDOCK,Mazagon Dock Shipbuilders Limited
1114,MBAPL,Madhya Bharat Agro Products Limited
1115,MBECL,Mcnally Bharat Engineering Company Limited
1116,MBLINFRA,MBL Infrastructure Limited
1117,MCL,Madhav Copper Limited
1118,MCLEODRUSS,Mcleod Russel India Limited
1119,MCX,Multi Commodity Exchange of India Limited
1120,MEDANTA,Global Health Limited
1121,MEDIASSIST,Medi Assist Healthcare Services Limited
1122,MEDICAMEQ,Medicamen Biotech Limited
1123,MEDICO,Medico Remedies Limited
1124,MEDPLUS,Medplus Health Services Limited
1125,MEGASOFT,Megasoft Limited
1126,MEGASTAR,Megastar Foods Limited
1127,MENONBE,Menon Bearings Limited
1128,METROBRAND,Metro Brands Limited
1129,METROPOLIS,Metropolis Healthcare Limited
1130,MFML,Mahalaxmi Fabric Mills Limited
1131,MFSL,Max Financial Services Limited
1132,MGEL,Mangalam Global Enterprise Limited
1133,MGL,Mahanagar Gas Limited
1134,MHLXMIRU,Mahalaxmi Rubtech Limited
1135,MHRIL,Mahindra Holidays & Resorts India Limited
1136,MICEL,MIC Electronics Limited
1137,MIDHANI,Mishra Dhatu Nigam Limited
1138,MINDACORP,Minda Corporation Limited
1139,MINDTECK,Mindteck (India) Limited
1140,MIRCELECTR,MIRC Electronics Limited
1141,MIRZAINT,Mirza International Limited
1142,MITCON,MITCON Consultancy & Engineering Services Limited
1143,MITTAL,Mittal Life Style Limited
1144,MKPL,M K Proteins Limited
1145,MMFL,MM Forgings Limited
1146,MMP,MMP Industries Limited
1147,MMTC,MMTC Limited
1148,MODIRUBBER,Modi Rubber Limited
1149,MODISONLTD,MODISON LIMITED
1150,MODTHREAD,Modern Threads (India) Limited
1151,MOHITIND,Mohit Industries Limited
1152,MOIL,MOIL Limited
1153,MOKSH,Moksh Ornaments Limited
1154,MOL,Meghmani Organics Limited
1155,MOLDTECH,Mold-Tek Technologies Limited
1156,MOLDTKPAC,Mold-Tek Packaging Limited
1157,MONARCH,Monarch Networth Capital Limited
1158,MONTECARLO,Monte Carlo Fashions Limited
1159,MOREPENLAB,Morepen Laboratories Limited
1160,MOTHERSON,Samvardhana Motherson International Limited
1161,MOTILALOFS,Motilal Oswal Financial Services Limited
1162,MOTISONS,Motisons Jewellers Limited
1163,MOTOGENFIN,The Motor & General Finance Limited
1164,MPHASIS,MphasiS Limited
1165,MPSLTD,MPS Limited
1166,MRF,MRF Limited
1167,MRO-TEK,MRO-TEK Realty Limited
1168,MRPL,Mangalore Refinery and Petrochemicals Limited
1169,MSPL,MSP Steel & Power Limited
1170,MSTCLTD,Mstc Limited
1171,MSUMI,Motherson Sumi Wiring India Limited
1172,MTARTECH,Mtar Technologies Limited
1173,MTNL,Mahanagar Telephone Nigam Limited
1174,MUFIN,Mufin Green Finance Limited
1175,MUFTI,Credo Brands Marketing Limited
1176,MUKANDLTD,Mukand Limited
1177,MUKKA,Mukka Proteins Limited
1178,MUKTAARTS,Mukta Arts Limited
1179,MUNJALAU,Munjal Auto Industries Limited
1180,MUNJALSHOW,Munjal Showa Limited
1181,MURUDCERA,Murudeshwar Ceramics Limited
1182,MUTHOOTCAP,Muthoot Capital Services Limited
1183,MUTHOOTFIN,Muthoot Finance Limited
1184,MUTHOOTMF,Muthoot Microfin Limited
1185,MVGJL,Manoj Vaibhav Gems N Jewellers Limited
1186,NACLIND,NACL Industries Limited
1187,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
1188,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
1189,NAGREEKEXP,Nagreeka Exports Limited
1190,NAHARCAP,Nahar Capital and Financial Services Limited
1191,NAHARINDUS,Nahar Industrial Enterprises Limited
1192,NAHARPOLY,Nahar Poly Films Limited
1193,NAHARSPING,Nahar Spinning Mills Limited
1194,NAM-INDIA,Nippon Life India Asset Management Limited
1195,NARMADA,Narmada Agrobase Limited
1196,NATCOPHARM,Natco Pharma Limited
1197,NATHBIOGEN,Nath Bio-Genes (India) Limited
1198,NATIONALUM,National Aluminium Company Limited
1199,NAUKRI,Info Edge (India) Limited
1200,NAVA,NAVA LIMITED
1201,NAVINFLUOR,Navin Fluorine International Limited
1202,NAVKARCORP,Navkar Corporation Limited
1203,NAVNETEDUL,Navneet Education Limited
1204,NAZARA,Nazara Technologies Limited
1205,NBCC,NBCC (India) Limited
1206,NBIFIN,N. B. I. Industrial Finance Company Limited
1207,NCC,NCC Limited
1208,NCLIND,NCL Industries Limited
1209,NDGL,Naga Dhunseri Group Limited
1210,NDL,Nandan Denim Limited
1211,NDLVENTURE,NDL Ventures Limited
1212,NDRAUTO,Ndr Auto Components Limited
1213,NDTV,New Delhi Television Limited
1214,NECCLTD,North Eastern Carrying Corporation Limited
1215,NECLIFE,Nectar Lifesciences Limited
1216,NELCAST,Nelcast Limited
1217,NELCO,NELCO Limited
1218,NEOGEN,Neogen Chemicals Limited
1219,NESCO,Nesco Limited
1220,NESTLEIND,Nestle India Limited
1221,NETWEB,Netweb Technologies India Limited
1222,NETWORK18,Network18 Media & Investments Limited
1223,NEULANDLAB,Neuland Laboratories Limited
1224,NEWGEN,Newgen Software Technologies Limited
1225,NEXTMEDIA,Next Mediaworks Limited
1226,NFL,National Fertilizers Limited
1227,NGIL,Nakoda Group of Industries Limited
1228,NGLFINE,NGL Fine-Chem Limited
1229,NH,Narayana Hrudayalaya Ltd.
1230,NHPC,NHPC Limited
1231,NIACL,The New India Assurance Company Limited
1232,NIBL,NRB Industrial Bearings Limited
1233,NIITLTD,NIIT Limited
1234,NIITMTS,NIIT Learning Systems Limited
1235,NILAINFRA,Nila Infrastructures Limited
1236,NILASPACES,Nila Spaces Limited
1237,NILKAMAL,Nilkamal Limited
